location_id,name,campus,location,hours,cuisine,description,tags
1,Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),Cafe,"Coffee, Tea, and Bakery Items","coffee, drinks, breakfast, grab-and-go, quick"
2,Gothic Grill ,West Campus,Bryan Center,11 am - Midnight (sun - thur); 11 am - 1 am (fri - sat),American,"Gothic Grill offers small plates, soups, sandwiches, salads, tacos, burgers, pizza, and local ice cream! Alchemy: Alchemy is Gothic Grill's bar establishment-open 4pm-close, seven days a week!","burgers, dinner, late night,  pizza, tacos, dessert, bar"
3,It's Thyme,West Campus,Bryan Center,11 am - 9 pm (mon - fri); 11 am - 8 pm (sat - sun),Healthy,It's Thyme is the first top nine allergen free friendly dining venues of its kind offering made-to-order bowls with fresh ingredients free from the top nine allergens! ,"allergen-free, healthy, bowls, vegetarian, gluten-free"
4,Ginger + Soy,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Tastes from all over East and Southeast Asia, Ginger+ Soy is your passport to huge flavor. The menu, loaded with authentic recipes, has been crafted by skilled chefs. Take your choice from a huge selection of fine ingredients, then enjoy the sounds, sights and aromas as your meal is stir fried to perfection on the spot.","asian, stir-fry, lunch, dinner, bowls, flavorful"
5,Gyotaku,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),asian,"Gyotaku-Where the daily catch becomes a daily delicacy. Sit down at the bar and watch as Gyotaku combines the freshest ingredients into amazing, made-to-order sushi. Or enjoy a pre-made roll created by their master chefs. Either way, your taste buds will thank you.","asian, sushi, lunch, dinner"
6,JB's Roasts & Chops,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),american,"At JB's Roasts & Chops, you'll experience meat and potatoes the way they're supposed to be, slowly roasted, deliciously seasoned and served fresh. This is a meal that's on a whole new level. Place your order and enjoy a tried and true American meal that's second to none.","lunch, dinner, protein, american"
7,Sazon,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),Latin American,"Sazon Latin American Table brings true, authentic Latin American cuisine to the Brodhead Center offering made to order arepas, tortillas and bowls created with fresh ingredients.","latin american, arepas, tortillas, bowl, lunch, dinner"
8,Cafe,West Campus,Broadhead Center,7 am - 10 pm (mon - fri); 8 am - 10 pm (sat - sun),cafe,"Duke Cafe is a European inspired coffee shop that serves fresh pressed juices, exceptional coffee, hand-crafted crepes, sandwiches, little-bites, and scratch-made gelato.","european, coffee, juice, sandwiches, dessert, breakfast"
9,Sprout,West Campus,Broadhead Center,8 am - 10:30 am (mon - fri); 11 am - 9 pm (mon - sun),healthy,Sprout will be sure to please any palate with vegetables ruling the tastes at this 100% vegan-inspired venue!,"vegan, vegetarian, healthy, vegetables, lunch, dinner"
10,Tandoor,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),indian,"Looking for authentic Indian food? Your search ends at the Brodhead Center where Tandoor has the enticing flavors you crave. Meats, breads and vegetables cooked in real tandoor ovens. This diverse menu features traditional recipes as well as fresh, modern takes on classic Indian meals.","indian, spicy, lunch, dinner, flavorful"
11,The Chef's Kitchen,West Campus,Broadhead Center,11 am - 3 pm (mon - fri); closed (sat - sun),international,"The Chef's Kitchen's serves as a pop-up restaurant for lunch, Monday-Friday from 11am-3pm.","lunch, rotating, international"
12,The Commons,West Campus,Broadhead Center,11:30 am - 2 pm (mon - fri); 5 - 9 pm (tues - sat); closed (sun),american,The Commons in the Brodhead Center is a quiet restaurant located on the Mezzanine Level and tucked away above the bustle of the food court below.,"lunch, dinner,  protein, salad, dessert, expensive"
13,The Devil's Krafthouse,West Campus,Broadhead Center,11 am - Midnight (mon - sun),american,"Head to the campus center pub for your favorite craft beers on tap and a great menu for pairing. Stop by The Devil's Krafthouse during every Duke basketball away game for special viewing parties on the big screens. With seating available indoors and outside, the fun happens rain or shine.","bar, lunch, dinner, late-night, sit-down"
14,Farmstead,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),healthy,"Your favorite classic dishes just got a fresh, sustainable and healthier upgrade. Head to  Farmstead for a meal that satisfies your tastes and your conscience. Following the Farm to Fork philosophy, this venue specializes in cooking up great meals using the finest ingredients�sourced from local suppliers whenever possible.","healthy, sustainable, lunch, dinner, fresh"
15,The Skillet,West Campus,Broadhead Center,7 am - 9 pm (mon - fri); 8 am - 9 pm (sat - sun),southern,Upscale Southern cuisine celebrating a rich tradition of home-style cooking with the best fried chicken and biscuits with breakfast served all day!,"breakfast, lunch, dinner, southern, protein"
16,Il Forno,West Campus,Broadhead Center,11 am - 9 pm (mon - sun),italian,"Specializes in authentic pastas, fresh salads and soup, and specialty pizzas made with our hand crafted dough, Neapolitan tomatoes, and top-quality mozzarella.","italian, pasta, pizza, salad, lunch, dinner"
