item_id,location_id,item_name,meal_period,item_description,generated_tags,all_tags,loc_name,campus,location,hours,cuisine,loc_description,tags,document
1,1,"Bacon, Egg, and Cheese Sandwich",breakfast,"Breakfast sandwich with bacon, egg, and cheese","breakfast,dairy,comfort_food","breakfast, comfort_food, dairy",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Bacon, Egg, and Cheese Sandwich. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: breakfast. Breakfast sandwich with bacon, egg, and cheese. Item tags: breakfast, comfort_food, dairy. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
2,1,Egg and Cheese Sandwich,breakfast,Breakfast sandwich with egg and cheese,"breakfast,dairy,comfort_food","breakfast, comfort_food, dairy",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Egg and Cheese Sandwich. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: breakfast. Breakfast sandwich with egg and cheese. Item tags: breakfast, comfort_food, dairy. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
3,1,"Sausage, Egg, and Cheese Sandwich",breakfast,"Breakfast sandwich with sausage, egg, and cheese","breakfast,dairy,comfort_food","breakfast, comfort_food, dairy",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Sausage, Egg, and Cheese Sandwich. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: breakfast. Breakfast sandwich with sausage, egg, and cheese. Item tags: breakfast, comfort_food, dairy. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
4,1,Coffee Au Lait,drink,"Coffee Au Lait available Iced or Hot and with milk substitutes of oat, skim, and whole","drink,caffeinated,dairy","caffeinated, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Coffee Au Lait. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Coffee Au Lait available Iced or Hot and with milk substitutes of oat, skim, and whole. Item tags: caffeinated, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
5,1,Coffee,drink,Coffee available Iced or Hot and with the option to add a splash of milk,"drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Coffee. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Coffee available Iced or Hot and with the option to add a splash of milk. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
6,1,Mexican Coffee,drink,"Coffee with cinnamon, nutmeg, and steamed milk with options of milk subsitutes of oat, skim, or whole","dairy,drink,caffeinated,comfort_food","caffeinated, comfort_food, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Mexican Coffee. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Coffee with cinnamon, nutmeg, and steamed milk with options of milk subsitutes of oat, skim, or whole. Item tags: caffeinated, comfort_food, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
7,1,Nitro Cold Brew,drink,Nitro cold brew available iced,"drink,caffeinated","caffeinated, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Nitro Cold Brew. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Nitro cold brew available iced. Item tags: caffeinated, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
8,1,Chai Latte,drink,"Chai Latte available Iced or Hot and with milk substitutes of oat, skim or whole","dairy,drink,caffeinated","caffeinated, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Chai Latte. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Chai Latte available Iced or Hot and with milk substitutes of oat, skim or whole. Item tags: caffeinated, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
9,1,Hot Chocolate,drink,"Hot Chocolate available  with milk substitutes of oat, skim or whole","dairy,drink,comfort_food","comfort_food, dairy, drink",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Hot Chocolate. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Hot Chocolate available  with milk substitutes of oat, skim or whole. Item tags: comfort_food, dairy, drink. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
10,1,Mango Smoothie,drink,Mango Smoothie,"vegan,healthy,drink,quick,snack","drink, healthy, quick, snack, vegan",Beyu Blue Coffee,West Campus,Bryan Center,7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun),cafe,"Coffee, Tea, and Bakery Items","coffee,drinks,breakfast,grab-and-go,quick","Mango Smoothie. Available at Beyu Blue Coffee (cafe cuisine) in Bryan Center on West Campus campus. Hours: 7 am - 7 pm (mon - fri); 9 am - 5 pm (sat - sun). Served during: drink. Mango Smoothie. Item tags: drink, healthy, quick, snack, vegan. Venue tags: coffee,drinks,breakfast,grab-and-go,quick. "
