item_id,location_id,name,meal_period,description,tags
1,1,"Bacon, Egg, and Cheese Sandwich",Breakfast,"Breakfast sandwich with bacon, egg, and cheese","comfort, high_protein"
2,1,Egg and Cheese Sandwich,Breakfast,Breakfast sandwich with egg and cheese,"comfort, high_protein"
3,1,"Sausage, Egg, and Cheese Sandwich",Breakfast,"Breakfast sandwich with sausage, egg, and cheese","comfort, high_protein"
4,1,Coffee Au Lait,Drink,"Coffee Au Lait available Iced or Hot and with milk substitutes of oat, skim, and whole","caffeinated, hot, cold, dairy, non_dairy"
5,1,Coffee,Drink,Coffee available Iced or Hot and with the option to add a splash of milk,"caffeinated, hot, cold"
6,1,Mexican Coffee,Drink,"Coffee with cinnamon, nutmeg, and steamed milk with options of milk subsitutes of oat, skim, or whole","caffeinated, hot, cold, sweet"
7,1,Nitro Cold Brew,Drink,Nitro cold brew available iced,"caffeinated, cold"
8,1,Chai Latte,Drink,"Chai Latte available Iced or Hot and with milk substitutes of oat, skim or whole","caffeinated, cold, hot, sweet"
9,1,Hot Chocolate,Drink,"Hot Chocolate available  with milk substitutes of oat, skim or whole","sweet, dairy, non_dairy"
10,1,Mango Smoothie,Drink,Mango Smoothie,"cold, sweet"
11,1,Matcha Latte,Drink,"Matcha Latte available Iced or Hot and with milk substitutes of oat, skim or whole","caffeinated, hot, cold, sweet"
12,1,Pineapple Smoothie,Drink,Pineapple Smoothie,"cold, sweet"
13,1,Steamer Milk,Drink,"Heated milk available with oat, skim or whole milk","hot, low_sugar, non_caffeinated"
14,1,White Hot Chocolate,Drink,"Hot Chocolate available  with milk substitutes of oat, skim or whole","sweet, dairy, non_dairy"
15,1,Strawberry Smoothie,Drink,Strawberry Smoothie,"cold, sweet"
16,1,Caramello,Drink,"Caramel, vanilla, steamed milk, and caramel drizzle. Available Iced or Hot and with milk substitutions of oat, skim, or whole milk","sweet, dairy, non_dairy, caffeinated"
17,1,Dirty Chai,Drink,"Chai Latte with a shot of espresso available Iced or Hot and with milk substitutes of oat, skim or whole","sweet, dairy, non_dairy, caffeinated"
18,1,La Vanilla,Drink,"Vanilla latte availableIced or Hot and with milk substitutes of oat, skim, or whole","sweet, dairy, non_dairy, caffeinated"
19,1,Mexican Latte,Drink,"Latte with Mexican Coffee available Iced or Hot and with milk substitutes of oat, skim, or whole","sweet, dairy, non_dairy, caffeinated"
20,1,Oprah Mocha,Drink,"Mocha available Iced or Hot and with milk substitues of oat, skim, or whole","sweet, dairy, non_dairy, caffeinated"
21,1,Turle Mocha,Drink,"Mocha with caramel syrup available Iced or Hot and with milk substitues of oat, skim, or whole","sweet, dairy, non_dairy, caffeinated"
22,1,Americano,Drink,"Americano available Iced or Hot and with milk substitutes of oat, skim, or whole","dairy, non_dairy, caffeinated, hot, cold"
23,1,Cappucino,Drink,"Cappucino available Iced or Hot and with milk substitutes of oat, skim, or whole","dairy, non_dairy, caffeinated, hot, cold"
24,1,Cortado,Drink,"Cortado available Iced or Hot and with milk substitutes of oat, skim, or whole","dairy, non_dairy, caffeinated, hot, cold"
25,1,Espresso,Drink,Shot of Espresso,"dairy, non_dairy, caffeinated, hot, cold"
26,1,Flat White,Drink,"Flat White available Iced or Hot and with milk substitutes of oat, skim, or whole","dairy, non_dairy, caffeinated, hot, cold"
27,1,Latte,Drink,"Latte available Iced or Hot and with milk substitutes of oat, skim, or whole","dairy, non_dairy, caffeinated, hot, cold"
28,1,Macchiato,Drink,"Macchiato available Iced or Hot and with milk substitutes of oat, skim, or whole","dairy, non_dairy, caffeinated, hot, cold"
29,1,Mocha,Drink,"Mocha available Iced or Hot and with milk substitues of oat, skim, or whole","dairy, non_dairy, caffeinated, hot, cold"
30,1,Red Eye,Drink,"Brew dripped coffee with shot of espresso available Iced or Hot and with milk substitutes of oat, skim, or whole","dairy, non_dairy, caffeinated, hot, cold"
31,2,Chicken Tenders,"lunch, dinner",Chicken Tenders,
32,2,Crispy Cauliflower,"lunch, dinner, snack",crispy cauliflower with ranch,vegetarian
33,2,Fried Shrimp,"lunch, dinner",Fried Shrimp,
34,2,Sweet Potato Waffle Fries,"lunch, dinner, snack",Sweet Potato Waffle Fries,"vegetarian, vegan"
35,2,Buffalo Chicken Macaroni and Cheese,"lunch, dinner",Buffalo Chicken Macaroni and Cheese,
36,2,Macaroni and Cheese Cup,"lunch, dinner, snack",Macaroni and Cheese,vegetarian
37,2,Mozzarella Sticks,"lunch, dinner, snack",Mozzarella Sticks,vegetarian
38,2,Chicken Cheese Nachos,"lunch, dinner, snack",Shredded Chicken and Cheese Nachos,
39,2,Bavarian Pretzel,"lunch, snack",Bavarian Pretzel,"vegetarian, vegan"
40,2,Tortilla Chips with Guacamole,snack,Tortilla Chips with Guacamole,"vegetarian, vegan"
41,2,Chicken Wings,"lunch, dinner",chicken wings,
42,2,Caesar Salad,"lunch, dinner",Caesar Salad,
43,2,Caprese Salad,"lunch, dinner",Caprese Salad,vegetarian
44,2,Grilled Chicken Salad,"lunch, dinner",Grilled Chicken Salad,
45,2,Crispy Buffalo Chicken Salad,"lunch, dinner",Crispy Buffalo Chicken Salad,
46,2,Crispy Chicken Caesar Salad,"lunch, dinner",Crispy Chicken Caesar Salad,
47,2,Tomato Basil Soup,"lunch, dinner",Tomato Basil Soup,vegetarian
48,2,BLT-A Sandwich,"lunch, dinner","Bacon, lettuce, tomato and avocado sandwich",
49,2,Vegetable Cheesesteak,"lunch, dinner","Vegetable Cheesesteak with grilled portobello mushrooms, onions, peppers, vegan cheese and vegan pesto",vegetarian
50,2,Buffalo Chicken Wrap,"lunch, dinner","Buffalo Chicken Wrap with crispy chicken, lettuce, tomato, shredded cheese and ranch",
51,2,Buffalo Shrimp Wrap,"lunch, dinner","Buffalo Shrimp Wrap with Crispy Shrimp tossed in Buffalo Sauce, Lettuce, Tomato, Shredded Monterey  Jack Cheese and Ranch",
52,2,Chicken Caesar Wrap,"lunch, dinner","Chicken Caesar Wrap with sliced grilled chicken, romaine lettuce, parmesan, and tomatoes",
53,2,Chicken Philly,"lunch, dinner","Sauteed grilled chicken with peppers, onions, provolone chees on a hoagie",
54,2,Southern Fried Chicken Sandwich,"lunch, dinner","Southern Fried Chicken Sandwich with shredded lettuce, dill pickles, and mayo",
55,2,Grilled Chicken Parm Sandwich,"lunch, dinner","Grilled Chicken Parm Sandwich with provolone, spinach, and red sauce",
56,2,Grilled Chicken Sandwich,"lunch, dinner","Grilled Chicken Sandwich with lettuce, tomato, onion, cheese, pickle",
57,2,Philly Cheesesteak,"lunch, dinner","Philly Cheesesteak with melty provolone, grilled onions, and peppers",
58,2,Turkey Grinder,"lunch, dinner",Turkey Grinder with smoked gouda on sourdough with arugula and sundried tomato aioli,
